Feature,Mean |SHAP value|
discount_eligibility,144.75490361856848
age,127.64650791430063
bmi,39.146145301395975
children,13.123890232071192
northeast,4.638344015147491
southwest,2.8844315326071674
gender,2.7182537800280144
northwest,2.323531662474529
southeast,1.6093193591047705
