Feature,Mean |SHAP value|
discount_eligibility,7781.549006692803
age,3347.8931004174487
bmi,2173.200322257099
children,819.1642669835531
northeast,340.2680132722351
gender,190.6352222157118
northwest,181.89297719718394
southeast,133.97566391982352
southwest,84.29395906479166
