Feature,Mean |SHAP value|
discount_eligibility,140.96281215692062
age,128.88983724881345
bmi,38.19074670665749
children,14.482970448744734
northeast,6.534550085542783
northwest,2.768309585531697
southeast,2.594666592927496
gender,2.454400249974889
southwest,1.2647602113361893
